     Antarctic_slope            Shelf_press             SO_press_down_mod
   3.3981566247332541e-02   4.5508943492686177e+02   4.5485370816518099e+02
   3.4736683069108008e-02   4.5711428355546019e+02   4.5687750687258085e+02
   3.5491799890883476e-02   4.5913915185934599e+02   4.5890132523546384e+02
   3.6246916712658950e-02   4.6116403983786194e+02   4.6092516325317405e+02
   3.7002033534434417e-02   4.6318894749035093e+02   4.6294902092505492e+02
   3.7757150356209884e-02   4.6521387481615534e+02   4.6497289825045027e+02
   3.8512267177985358e-02   4.6723882181461778e+02   4.6699679522870377e+02
   3.9267383999760826e-02   4.6926378848508119e+02   4.6902071185915912e+02
   4.0022500821536293e-02   4.7128877482688802e+02   4.7104464814115983e+02
   4.0777617643311767e-02   4.7331378083938080e+02   4.7306860407404974e+02
   4.1532734465087234e-02   4.7533880652190237e+02   4.7509257965717234e+02
   4.2287851286862702e-02   4.7736385187379489e+02   4.7711657488987129e+02
   4.3042968108638169e-02   4.7938891689440106e+02   4.7914058977149011e+02
   4.3798084930413643e-02   4.8141400158306368e+02   4.8116462430137244e+02
   4.4553201752189117e-02   4.8343910593912472e+02   4.8318867847886139e+02
   4.5308318573964584e-02   4.8546422996192729e+02   4.8521275230330110e+02
   4.6063435395740052e-02   4.8748937365081321e+02   4.8723684577403469e+02
   4.6818552217515519e-02   4.8951453700512519e+02   4.8926095889040562e+02
   4.7573669039290986e-02   4.9153972002420585e+02   4.9128509165175763e+02
   4.8328785861066453e-02   4.9356492270739727e+02   4.9330924405743389e+02
   4.9083902682841928e-02   4.9559014505404201e+02   4.9533341610677792e+02
   4.9839019504617402e-02   4.9761538706348244e+02   4.9735760779913318e+02
   5.0594136326392869e-02   4.9964064873506061e+02   4.9938181913384284e+02
   5.1349253148168336e-02   5.0166593006811939e+02   5.0140605011025048e+02
   5.2104369969943803e-02   5.0369123106200067e+02   5.0343030072769920e+02
   5.2859486791719271e-02   5.0571655171604687e+02   5.0545457098553265e+02
   5.3614603613494738e-02   5.0774189202960008e+02   5.0747886088309366e+02
   5.4369720435270212e-02   5.0976725200200292e+02   5.0950317041972602e+02
   5.5124837257045686e-02   5.1179263163259725e+02   5.1152749959477273e+02
   5.5879954078821154e-02   5.1381803092072550e+02   5.1355184840757715e+02
   5.6635070900596621e-02   5.1584344986572978e+02   5.1557621685748234e+02
   5.7390187722372088e-02   5.1786888846695206e+02   5.1760060494383163e+02
   5.8145304544147555e-02   5.1989434672373500e+02   5.1962501266596826e+02
   5.8900421365923029e-02   5.2191982463542024e+02   5.2164944002323512e+02
   5.9655538187698504e-02   5.2394532220135011e+02   5.2367388701497555e+02
   6.0410655009473971e-02   5.2597083942086670e+02   5.2569835364053267e+02
   6.1165771831249438e-02   5.2799637629331198e+02   5.2772283989924983e+02
   6.1920888653024905e-02   5.3002193281802818e+02   5.2974734579046981e+02
   6.2676005474800373e-02   5.3204750899435714e+02   5.3177187131353571e+02
   6.3431122296575840e-02   5.3407310482164110e+02   5.3379641646779078e+02
   6.4186239118351307e-02   5.3609872029922167e+02   5.3582098125257767e+02
   6.4941355940126774e-02   5.3812435542644130e+02   5.3784556566723973e+02
   6.5696472761902255e-02   5.4015001020264174e+02   5.3987016971111973e+02
   6.6451589583677723e-02   5.4217568462716486e+02   5.4189479338356114e+02
   6.7206706405453190e-02   5.4420137869935263e+02   5.4391943668390616e+02
   6.7961823227228657e-02   5.4622709241854704e+02   5.4594409961149836e+02
   6.8716940049004124e-02   5.4825282578408974e+02   5.4796878216568041e+02
   6.9472056870779605e-02   5.5027857879532280e+02   5.4999348434579508e+02
   7.0227173692555073e-02   5.5230435145158810e+02   5.5201820615118550e+02
   7.0982290514330540e-02   5.5433014375222729e+02   5.5404294758119431e+02
   7.1737407336106007e-02   5.5635595569658244e+02   5.5606770863516465e+02
   7.3317799054838637e-02   5.5838178728399510e+02   5.5809248931243917e+02
   7.4898190773571252e-02   5.6040763851380689e+02   5.6011728961236054e+02
   7.6478582492303882e-02   5.6243350938536014e+02   5.6214210953427175e+02
   7.8058974211036511e-02   5.6445939989799604e+02   5.6416694907751560e+02
   7.9639365929769140e-02   5.6648531005105644e+02   5.6619180824143450e+02
   8.1219757648501756e-02   5.6851123984388323e+02   5.6821668702537158e+02
   8.2800149367234385e-02   5.7053718927581781e+02   5.7024158542866940e+02
   8.4380541085967015e-02   5.7256315834620182e+02   5.7226650345067060e+02
   8.5960932804699644e-02   5.7458914705437724e+02   5.7429144109071774e+02
   8.7541324523432260e-02   5.7661515539968536e+02   5.7631639834815394e+02
   8.9121716242164889e-02   5.7864118338146807e+02   5.7834137522232129e+02
   9.0702107960897504e-02   5.8066723099906665e+02   5.8036637171256280e+02
   9.2282499679630148e-02   5.8269329825182297e+02   5.8239138781822089e+02
   9.3862891398362763e-02   5.8471938513907810e+02   5.8441642353863813e+02
